               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.012557,           0.0025803,                   0,             0.76338,             0.79614,             0.73114,             0.51431,            0.035563,            0.012718,                   0,             0.00334,             0.00334,             0.00334
                  39,            0.012157,           0.0025441,                   0,             0.75553,             0.80901,             0.72822,             0.50947,            0.036186,            0.012919,                   0,             0.00316,             0.00316,             0.00316
                  40,            0.011519,           0.0024485,                   0,             0.73207,             0.83844,             0.72928,             0.50899,             0.03583,            0.012859,                   0,             0.00298,             0.00298,             0.00298
                  41,            0.010864,           0.0023539,                   0,              0.7525,             0.82208,             0.73167,             0.51222,            0.035684,            0.012893,                   0,              0.0028,              0.0028,              0.0028
                  42,            0.010618,           0.0023221,                   0,             0.75485,             0.81274,             0.73374,             0.51075,            0.036127,            0.013114,                   0,             0.00262,             0.00262,             0.00262
                  43,             0.01049,           0.0022499,                   0,             0.75274,             0.82618,             0.73413,             0.51642,            0.035888,            0.013056,                   0,             0.00244,             0.00244,             0.00244
                  44,           0.0095481,           0.0022007,                   0,             0.76371,             0.80457,             0.72797,             0.51463,            0.035488,            0.013183,                   0,             0.00226,             0.00226,             0.00226
                  45,           0.0093266,           0.0021326,                   0,             0.73345,             0.84335,             0.73445,             0.51186,            0.035826,            0.013247,                   0,             0.00208,             0.00208,             0.00208
                  46,            0.009276,           0.0020757,                   0,             0.76579,             0.82095,              0.7377,             0.51732,            0.035878,            0.013343,                   0,              0.0019,              0.0019,              0.0019
                  47,           0.0087838,           0.0020415,                   0,             0.76186,             0.81545,             0.73294,              0.5167,            0.035382,            0.013323,                   0,             0.00172,             0.00172,             0.00172
                  48,           0.0085665,           0.0019791,                   0,             0.75831,              0.8176,             0.73321,             0.52057,             0.03543,            0.013471,                   0,             0.00154,             0.00154,             0.00154
                  49,            0.008039,           0.0019492,                   0,             0.76021,             0.81974,             0.73228,             0.51806,            0.035562,            0.013577,                   0,             0.00136,             0.00136,             0.00136
