               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.024434,            0.017165,                   0,             0.74006,             0.83701,             0.76259,             0.53599,            0.031109,            0.013398,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.024979,            0.018851,                   0,             0.72073,             0.84549,             0.74496,             0.51302,            0.033121,            0.014021,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.024653,            0.018383,                   0,             0.71798,             0.87554,             0.76231,             0.54085,            0.031782,            0.013787,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.024016,            0.015787,                   0,             0.74003,              0.8412,             0.75778,             0.52899,            0.031108,            0.013879,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.024408,            0.016739,                   0,             0.71992,             0.85622,             0.76103,             0.53797,            0.030726,            0.013878,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.026325,            0.018035,                   0,             0.76141,             0.83549,             0.76693,              0.5453,            0.030614,            0.013541,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.023851,            0.018005,                   0,             0.74366,             0.84046,             0.77117,             0.55137,            0.031458,            0.013703,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.023555,            0.017383,                   0,             0.73405,             0.84699,             0.76538,             0.54348,            0.031166,             0.01368,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.023507,            0.017428,                   0,              0.7509,             0.84094,             0.75913,              0.5386,            0.031169,            0.013783,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.022864,            0.016495,                   0,             0.74995,             0.83026,             0.77966,             0.54445,            0.031754,             0.01401,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.024423,            0.017249,                   0,              0.7401,             0.83691,             0.77443,             0.54782,            0.031706,            0.013868,                   0,            0.000496,            0.000496,            0.000496
