               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.021411,            0.014353,                   0,             0.78716,             0.83476,             0.78452,             0.58825,            0.028008,            0.012649,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.022408,            0.015644,                   0,             0.77981,             0.83906,             0.77717,             0.57988,            0.028397,            0.012963,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.021631,            0.015243,                   0,             0.76796,             0.83476,             0.76799,             0.57699,            0.028378,            0.013319,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.021167,            0.013153,                   0,             0.78462,             0.85993,             0.76411,             0.58166,            0.028459,            0.012981,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.021187,            0.013992,                   0,             0.78567,             0.84335,             0.78115,             0.59527,            0.028281,            0.012752,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.023106,            0.014836,                   0,             0.77078,             0.87313,             0.78937,             0.61091,            0.027686,            0.012616,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.020791,            0.015081,                   0,             0.76583,             0.86266,             0.79119,             0.60504,            0.027301,            0.012614,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.020434,            0.014499,                   0,             0.77435,             0.86896,             0.78262,             0.59938,            0.027648,            0.012715,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.020482,            0.014373,                   0,             0.77243,              0.8595,             0.78369,              0.5994,            0.027816,            0.012828,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.019875,              0.0135,                   0,             0.76635,              0.8691,             0.78469,             0.60521,            0.027916,            0.012652,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.021245,            0.014008,                   0,             0.76691,             0.86844,             0.78978,             0.61405,            0.027647,            0.012544,                   0,            0.000496,            0.000496,            0.000496
