               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,             0.02449,            0.016408,                   0,             0.74557,             0.86149,             0.77264,             0.56479,            0.028171,            0.012853,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.025623,            0.017894,                   0,              0.7423,             0.85303,             0.77508,             0.56116,            0.028448,            0.012848,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.024953,             0.01756,                   0,             0.77084,             0.84455,             0.77589,             0.57092,            0.029088,            0.012956,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.024347,            0.015182,                   0,             0.77364,             0.81974,             0.77256,             0.57388,            0.028644,            0.013044,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.024219,            0.016271,                   0,             0.75573,             0.82403,             0.77935,             0.57119,            0.028903,             0.01311,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.026563,            0.017013,                   0,             0.76245,             0.83343,             0.78255,             0.58494,            0.028595,            0.012917,                   0,            0.001486,            0.001486,            0.001486
                  45,              0.0242,             0.01734,                   0,             0.76297,             0.82889,             0.77507,             0.57169,            0.028617,            0.012991,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.023712,            0.016888,                   0,             0.75923,             0.84335,             0.77752,             0.57656,            0.028222,            0.012657,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.023857,            0.016882,                   0,             0.74852,             0.86481,             0.77993,             0.57812,            0.028024,            0.012636,                   0,            0.000892,            0.000892,            0.000892
                  48,             0.02319,             0.01585,                   0,              0.7315,             0.86695,             0.77658,             0.58007,            0.028325,            0.012786,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.024611,            0.016277,                   0,             0.76463,             0.83047,             0.77174,             0.57954,            0.028373,            0.012799,                   0,            0.000496,            0.000496,            0.000496
